Area,Sex,Province,Area_Type,Year,Source,Total_Pop,Total_5to25,Higher_Ed_Rate,No_Edu_Rate,SLC_Completion_Rate,Dropout_Proxy_Rate,Currently_Attending_Rate,Never_Attended,CurrAtt_Primary,CurrAtt_LowerSec,CurrAtt_UpperSec,NotAtt_Primary,NotAtt_LowerSec,NotAtt_UpperSec,Education_Level,Attainment_Population,Education_Level_Order
Bhaktapur,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),162982,39634,16.11,2.39,12.5,2.49,69.46,988,14522,8523,4484,1737,2233,2185,Post_Graduate,7903,8
Bhaktapur,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),162982,39634,16.11,2.39,12.5,2.49,69.46,988,14522,8523,4484,1737,2233,2185,No_Level,3901,9
Bhaktapur,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),190981,46964,17.29,0.91,13.55,2.01,69.06,946,17454,9850,5128,2255,3069,2040,Early_Childhood,6065,1
Bhaktapur,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),190981,46964,17.29,0.91,13.55,2.01,69.06,946,17454,9850,5128,2255,3069,2040,Primary,36284,2
Bhaktapur,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),190981,46964,17.29,0.91,13.55,2.01,69.06,946,17454,9850,5128,2255,3069,2040,Lower_Secondary,27857,3
Bhaktapur,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),190981,46964,17.29,0.91,13.55,2.01,69.06,946,17454,9850,5128,2255,3069,2040,Upper_Secondary,22352,4
Bhaktapur,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),190981,46964,17.29,0.91,13.55,2.01,69.06,946,17454,9850,5128,2255,3069,2040,SLC_SEE,25875,5
Bhaktapur,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),190981,46964,17.29,0.91,13.55,2.01,69.06,946,17454,9850,5128,2255,3069,2040,Intermediate,36883,6
Bhaktapur,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),190981,46964,17.29,0.91,13.55,2.01,69.06,946,17454,9850,5128,2255,3069,2040,Graduate,21297,7
Bhaktapur,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),190981,46964,17.29,0.91,13.55,2.01,69.06,946,17454,9850,5128,2255,3069,2040,Post_Graduate,11731,8
Bhaktapur,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),190981,46964,17.29,0.91,13.55,2.01,69.06,946,17454,9850,5128,2255,3069,2040,No_Level,1739,9
Bhaktapur,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),353963,86598,16.75,1.59,13.06,2.23,69.24,1934,31976,18373,9612,3992,5302,4225,Early_Childhood,10933,1
Bhaktapur,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),353963,86598,16.75,1.59,13.06,2.23,69.24,1934,31976,18373,9612,3992,5302,4225,Primary,68268,2
Bhaktapur,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),353963,86598,16.75,1.59,13.06,2.23,69.24,1934,31976,18373,9612,3992,5302,4225,Lower_Secondary,49948,3
Bhaktapur,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),353963,86598,16.75,1.59,13.06,2.23,69.24,1934,31976,18373,9612,3992,5302,4225,Upper_Secondary,40720,4
Bhaktapur,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),353963,86598,16.75,1.59,13.06,2.23,69.24,1934,31976,18373,9612,3992,5302,4225,SLC_SEE,46245,5
Bhaktapur,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),353963,86598,16.75,1.59,13.06,2.23,69.24,1934,31976,18373,9612,3992,5302,4225,Intermediate,70819,6
Bhaktapur,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),353963,86598,16.75,1.59,13.06,2.23,69.24,1934,31976,18373,9612,3992,5302,4225,Graduate,39649,7
Bhaktapur,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),353963,86598,16.75,1.59,13.06,2.23,69.24,1934,31976,18373,9612,3992,5302,4225,Post_Graduate,19634,8
Bhaktapur,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),353963,86598,16.75,1.59,13.06,2.23,69.24,1934,31976,18373,9612,3992,5302,4225,No_Level,5640,9
Chitawan,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),271116,86066,7.24,2.63,10.87,3.71,63.43,3197,28856,16785,8950,5895,7450,6194,Early_Childhood,8729,1
Chitawan,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),271116,86066,7.24,2.63,10.87,3.71,63.43,3197,28856,16785,8950,5895,7450,6194,Primary,66967,2
Chitawan,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),271116,86066,7.24,2.63,10.87,3.71,63.43,3197,28856,16785,8950,5895,7450,6194,Lower_Secondary,51605,3
Chitawan,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),271116,86066,7.24,2.63,10.87,3.71,63.43,3197,28856,16785,8950,5895,7450,6194,Upper_Secondary,38196,4
